Id|RouteId|Route|AccountId|Account|Address|City|State|Location|Last24HoursSales|Last7DaysSales|Fill %|Sales|SoldoutItems|EmptyLanes|ItemsToPick|DaysSinceLastVisit|IsAccountOpen
1215|31|Air Canada|368|George Brown College - Waterfront Campus|51 Dockside Dr|Toronto|ON|4th Floor Elevators|||57.467532467532467|48.0000|1|1|123|10|True
1059|39|Chris Thompson|322|Oshawa - Tribute Communities Center|99 Athol St E|Oshawa|ON|Basement Level - Kitchenette|13.0000|15.0000|45.895522388059701|15.0000|4|4|435|7|True
1105|35|DO NOT SERVICE|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Batting Cage - Powerade|||0.000000000000000|0.0000|4|4|288|7|True
1104|35|DO NOT SERVICE|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Food Court - Megabytes|||0.000000000000000|110.5000|9|9|304|7|True
1103|35|DO NOT SERVICE|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Lobby - Entrance|||0.000000000000000|0.0000|8|8|312|7|True
1102|35|DO NOT SERVICE|331|Cineplex - Playdium - Square One|99 Rathburn Road West|Mississauga|ON|Lobby - Entrance|||0.000000000000000|0.0000|8|8|280|7|True
48|35|DO NOT SERVICE|31|Dynaplas|380 Passmore Avenue|Toronto|ON|Lunchroom||||0.0000|0|0|0|675|True
1237|35|DO NOT SERVICE|370|George Brown College - Cooperage|80 Cooperage St|Old Toronto|ON|Main Floor|13.0000|60.7500|35.057471264367816|322.2500|1|1|223|19|True
1234|35|DO NOT SERVICE|367|George Brown College - School of ESL|341 King St. E|Toronto|ON|3rd Floor Lounge|||19.592875318066157|466.2500|3|3|316|48|True
1229|35|DO NOT SERVICE|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|6th Floor|||56.333333333333333|223.7500|0|0|131|28|True
1213|35|DO NOT SERVICE|366|George Brown College - St. James Campus|200 King St. E|Toronto|ON|6th Floor|||0.000000000000000|360.7500|8|8|308|28|True
15|35|DO NOT SERVICE|57|McMaster University|1280 Main Street West|Hamilton|ON|Brandon Hall-Common Room|||12.307692307692307|4401.5000|28|28|16|244|True
1089|35|DO NOT SERVICE|57|McMaster University|1280 Main Street West|Hamilton|ON|Campus Store - Basement Washroom|||47.187500000000000|58.0000|4|4|72|35|True
1093|35|DO NOT SERVICE|57|McMaster University|1280 Main Street West|Hamilton|ON|Health Science Library - Main Lobby|||23.955431754874651|306.5000|27|27|286|35|True
664|35|DO NOT SERVICE|57|McMaster University|1280 Main Street West|Hamilton|ON|Kenneth Taylar Hall-Stairwell Innis Lib.|||39.365079365079365|181.5000|10|10|201|35|True
119|35|DO NOT SERVICE|65|Paramount Pallet|1330 Martin Grove Rd|Toronto|ON|In lunchroom||||0.0000|||0|171|True
206|35|DO NOT SERVICE|81|St. Andrew's College|15800 Yonge Street|Aurora|ON|Gymnasium|||32.666666666666666|33.2500|4|4|47|167|True
227|35|DO NOT SERVICE|87|TELUS House - 25 York|25 York Street|Toronto|ON|27/F|||0.000000000000000|234.0000|9|9|223|104|True
228|35|DO NOT SERVICE|87|TELUS House - 25 York|25 York Street|Toronto|ON|29/F|||0.000000000000000|68.0000|9|9|223|104|True
